Gene,TDL,Kinase_score_percent_THCA,Cancer
AAK1,Tchem,7.142857143,THCA
AATK,Tbio,19.04761905,THCA
ABL1,TMOA_THCA,4.761904762,THCA
ABL2,Tchem,14.28571429,THCA
ACVR1,Tchem,14.28571429,THCA
ACVR1B,Tchem,11.9047619,THCA
ACVR1C,Tbio,0,THCA
ACVR2A,Tchem,0,THCA
ACVR2B,Tchem,14.28571429,THCA
ACVRL1,Tchem,14.28571429,THCA
ADCK1,Tdark,9.523809524,THCA
ADCK2,Tbio,0,THCA
ADCK5,Tdark,14.28571429,THCA
ADK,Tchem,14.28571429,THCA
ADPGK,Tbio,14.28571429,THCA
AK1,Tbio,14.28571429,THCA
AK2,Tbio,0,THCA
AK3,Tbio,4.761904762,THCA
AK4,Tbio,16.66666667,THCA
AK5,Tbio,16.66666667,THCA
AK6,Tbio,0,THCA
AK8,Tbio,9.523809524,THCA
AK9,Tbio,0,THCA
AKT1,Tchem,14.28571429,THCA
AKT2,Tchem,7.142857143,THCA
AKT3,Tchem,14.28571429,THCA
ALK,TMOA_THCA,14.28571429,THCA
ALPK1,Tbio,14.28571429,THCA
ALPK2,Tbio,14.28571429,THCA
ALPK3,Tdark,0,THCA
AMHR2,Tbio,0,THCA
ANKK1,Tbio,2.380952381,THCA
ARAF,Tchem,0,THCA
ATM,Tchem,19.04761905,THCA
ATR,Tchem,4.761904762,THCA
AURKA,Tchem,0,THCA
AURKB,Tchem,14.28571429,THCA
AURKC,Tchem,0,THCA
AXL,Tchem,16.66666667,THCA
BCKDK,Tbio,0,THCA
BLK,Tchem,0,THCA
BMP2K,Tchem,0,THCA
BMPR1A,Tchem,7.142857143,THCA
BMPR1B,Tchem,16.66666667,THCA
BMPR2,Tchem,0,THCA
BMX,Tchem,0,THCA
BRAF,TMOA_THCA,14.28571429,THCA
BRSK1,Tchem,28.57142857,THCA
BRSK2,Tchem,0,THCA
BTK,TMOA_THCA,16.66666667,THCA
BUB1,Tchem,21.42857143,THCA
BUB1B,Tbio,0,THCA
CAMK1,Tchem,0,THCA
CAMK1D,Tchem,7.142857143,THCA
CAMK1G,Tchem,14.28571429,THCA
CAMK2A,Tchem,14.28571429,THCA
CAMK2B,Tchem,0,THCA
CAMK2D,Tchem,14.28571429,THCA
CAMK2G,Tchem,4.761904762,THCA
CAMK4,Tbio,16.66666667,THCA
CAMKK1,Tchem,0,THCA
CAMKK2,Tchem,0,THCA
CAMKV,Tbio,19.04761905,THCA
CASK,Tchem,0,THCA
