"","PRAD","THCA","KICH","BRCA","KIRP","KIRC","READ","COAD","BLCA","STAD","PCPG","UCEC","LUAD","HNSC","CESC","GBM","ESCA","LUSC","LIHC","CHOL"
"BUB1",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BUB1B",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PLK1",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AURKB",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"MELK",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"NEK2",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"PBK",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"TTK",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"PKMYT1",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
"AURKA",0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"CDK1",1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TRIB3",0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1
"LIMK1",0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
"MAST1",0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1
"TK1",1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"CAMKV",1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
"CDC7",0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"CHEK1",0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"DTYMK",0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"NME1",0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"SRMS",1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"PLK4",0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"SBK1",1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1
"CIT",0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1
"DCLK3",0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1
"EPHB2",0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1
"ITPKA",0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1
"MYO3B",0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1
"SPHK1",0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1
"STK31",0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
"ADCK5",0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1
"CHEK2",0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
"EPHA10",1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1
"EPHA8",1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0
"IRAK1",0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1
"MET",0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0
"MST1R",0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1
"PASK",0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1
"PRKCG",0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1
"BRSK2",1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
"CDK2",0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
"CDK4",0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1
"FGFR4",0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1
"HK2",0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1
"IKBKE",0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"MAPK15",0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
"MASTL",0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1
"NME1-NME2",0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
"PRKDC",0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1
"PTK7",0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1
"RIPK2",0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1
"RPS6KL1",0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1
"ANKK1",0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
"BRSK1",0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1
"CDK5",0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1
"CKMT1A",0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1
"EFNA1",0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1
"EPHB3",0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1
"ERBB2",0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1
"GUCY2D",0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1
"HKDC1",0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1
"MYLK2",0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1
"MYO3A",0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
"PAK6",0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1
"PNCK",0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1
"PTK6",0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1
"ROS1",0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0
"SGK494",0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1
"SRPK1",0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1
"UCK2",0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1
"ALK",0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
"EPHA6",1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1
"EPHB4",0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1
"HK3",0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0
"LMTK3",0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1
"PKM",0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1
"RET",1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
"TTBK1",0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0
"ALPK2",0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0
