"","PRAD","THCA","KICH","CESC","KIRP","BLCA","STAD","BRCA","KIRC","UCEC","HNSC","COAD","READ","ESCA","LUAD","GBM","PCPG","LUSC","LIHC","CHOL"
"PKMYT1",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"CAMKV",1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
"DCLK3",0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1
"STK31",0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
"ADCK5",0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1
"BRSK2",1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1
"MAPK15",0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1
"RPS6KL1",0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1
"BRSK1",0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1
"PAK6",0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1
"PNCK",0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1
"SGK494",0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1
"LMTK3",0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1
"TTBK1",0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0
"ALPK2",0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0
"ERN2",0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1
"MARK1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1
"PAK5",0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1
"STK32C",0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1
"ALPK3",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
"CAMK1G",0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
"CAMKK1",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
"CDC42BPG",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"CDK16",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
"NEK5",1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
"POMK",0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
