"Gene","Cancer","TDL","IDG_Status","Kinase_score_percent","rank","Kinase_Type","Kinase_Group","Kinase_Family","Kinase_protein","MOA"
"AAK1","THCA","Tchem","Studied",7.14285714285714,21,"protein kinase","other group","NAK family","AP2-associated protein kinase 1","no"
"AATK","THCA","Tbio","Studied",19.047619047619,15,"protein kinase","TK group","LMR family","serine/threonine-protein kinase lmtk1","no"
"ABL1","THCA","Tclin","Studied",4.76190476190476,22,"protein kinase","TK group","ABL family","tyrosine-protein kinase abl1","yes"
"ABL2","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","TK group","ABL family","abelson tyrosine-protein kinase 2","no"
"ACVR1","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","TKL group","STKR family","activin receptor type-1","no"
"ACVR1B","THCA","Tchem","Studied",11.9047619047619,19,"protein kinase","TKL group","STKR family","activin receptor type-1b","no"
"ACVR1C","THCA","Tbio","Studied",0,24,"protein kinase","TKL group","STKR family","activin receptor type-1c","no"
"ACVR2A","THCA","Tchem","Studied",0,24,"protein kinase","TKL group","STKR family","activin receptor type-2a","no"
"ACVR2B","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","TKL group","STKR family","activin receptor type-2b","no"
"ACVRL1","THCA","Tchem","Studied",14.2857142857143,17,"protein kinase","TKL group","STKR family","serine/threonine-protein kinase receptor r3","no"
"ADCK1","THCA","Tdark","Understudied",9.52380952380952,20,"protein kinase","Atypical group","ABC1 family","uncharacterized aarf domain-containing protein kinase 1","no"
"ADCK2","THCA","Tbio","Understudied",0,24,"protein kinase","Atypical group","ABC1 family","uncharacterized aarf domain-containing protein kinase 2","no"
"ADCK5","THCA","Tdark","Understudied",14.2857142857143,17,"protein kinase","Atypical group","ABC1 family","uncharacterized aarf domain-containing protein kinase 5","no"
"ADK","THCA","Tchem","Studied",14.2857142857143,17,"Non-protein kinase","nucleoside/nucleotide kinase","","adenosine kinase","no"
"ADPGK","THCA","Tbio","Studied",14.2857142857143,17,"Non-protein kinase","carbohydrate kinase","ADP-dependent glucokinase family","ADP-dependent glucokinase","no"
"AK1","THCA","Tbio","Studied",14.2857142857143,17,"Non-protein kinase","nucleoside/nucleotide kinase","Adenylate kinase family","adenylate kinase isoenzyme 1","no"
